49,2204,2330,185,I would like to inquire about the availability of a guided tour to the Taj Mahal. Can you provide me with the details and prices?,Na cekanju
50,1783,1170,285,"One of your employees mishandled my travel documents, leading to a delay and inconvenience during check-in.",Na cekanju
51,58,1414,45,I need to request a refund for a canceled excursion that I had pre-booked as part of my tour package.,U obradi
52,1962,1123,87,"I made a payment for my hotel reservation, but the hotel has no record of my booking. Please resolve this payment and booking discrepancy.",Rjeseno
53,868,198,128,The online customer portal is not working properly. I am unable to review my booking details. Can you assist me with this issue?,Zaprimljeno
54,1142,2533,38,I would like to inquire about the availability of a guided tour to the Serengeti National Park. Can you provide me with the options and prices?,U obradi
55,2393,128,317,One of your tour guides was constantly on their phone and not providing proper attention to the group.,Zaprimljeno
56,1088,2907,1,I would like to request a refund for the tour package due to unexpected personal circumstances.,Na cekanju
57,814,693,65,"I made a payment for my tour package, but the amount debited from my account is incorrect. Please rectify this payment discrepancy.",Zaprimljeno
58,2093,1898,239,The online payment portal is not working properly. I am unable to complete the payment for my tour package.,Na cekanju
59,1293,721,108,I need assistance in booking a flight for my upcoming trip to Paris. Can you provide me with the available options and prices?,U obradi
60,200,2057,327,"One of your staff members was consistently unresponsive to my emails and calls, causing delays in resolving my travel queries.",Rjeseno
61,1546,2127,47,I need to request a refund for a canceled tour due to unforeseen circumstances.,Rjeseno
62,527,1341,339,"I made a payment for my hotel reservation, but the amount charged is higher than the agreed price. Please rectify this payment discrepancy.",U obradi
63,1283,804,145,I am unable to download the travel documents from the client portal. Can you provide the necessary documents via email?,U obradi
64,121,1221,304,I would like to inquire about the availability of a guided tour to the Galapagos Islands. Can you provide me with the options and prices?,Zaprimljeno
65,1852,2300,264,"One of your tour guides did not show up for the scheduled tour, causing us inconvenience and disappointment.",Rjeseno
66,1542,85,292,I would like to request a refund for a canceled excursion that I had pre-booked.,Zaprimljeno
67,624,185,215,"I made a payment for my tour package, but the transaction is still pending. Can you confirm if the payment was successful?",Na cekanju
68,2150,2379,128,The booking form on your website is not accepting my contact details. Can you assist me with the booking process?,Zaprimljeno
69,1744,939,129,I need assistance in booking a guided city tour for my upcoming trip to Amsterdam. Can you provide me with the available options and prices?,Zaprimljeno
70,178,586,189,"One of your employees provided incorrect directions, causing us to get lost during our sightseeing excursion.",Na cekanju
71,2914,76,218,I need to request a refund for the tour package as my travel plans have changed.,Na cekanju
72,2903,2593,291,"I made a payment for my hotel reservation, but I did not receive a booking confirmation. Can you provide the necessary documentation?",U obradi
73,833,2712,237,I am unable to access my e-tickets for the flights I booked through your agency. Can you provide them to me again?,Na cekanju
74,1896,2379,268,I would like to inquire about the availability of a guided tour to the Grand Canyon. Can you provide me with the options and prices?,Na cekanju
75,1951,2085,157,"One of your tour guides was not punctual, causing delays and inconvenience for the entire group.",Rjeseno
76,1624,1893,136,I would like to request a refund for a canceled excursion that I had pre-booked as part of my tour package.,Na cekanju
77,2007,703,347,"I made a payment for my tour package, but the amount debited from my account is higher than the agreed price. Please rectify this payment discrepancy.",Rjeseno
78,1216,1620,252,The online booking system is not accepting my credit card details. Can you assist me with the payment process?,Rjeseno
79,661,2068,197,I need assistance in booking a guided city tour for my upcoming trip to New York. Can you provide me with the available options and prices?,Zaprimljeno
80,2452,1746,68,"One of your employees provided incorrect information about the opening hours of a museum, leading to us missing the visit.",Rjeseno
81,2812,2775,284,I need to request a refund for the tour package due to a change in my travel plans.,Zaprimljeno
82,1666,2265,80,"I made a payment for my hotel reservation, but the amount charged is incorrect. Please rectify this payment discrepancy.",U obradi
83,1375,2640,215,The online chat support on your website is not responsive. I need assistance with my booking. Please provide an alternative contact method.,Zaprimljeno
84,550,903,189,I would like to inquire about the availability of a guided tour to the Great Barrier Reef. Can you provide me with the options and prices?,Rjeseno
85,1393,1168,145,"One of your tour guides did not provide accurate historical information during the guided tour, which affected the overall experience.",U obradi
86,1500,1187,201,I need to request a refund for the tour package due to unexpected personal circumstances.,Zaprimljeno
