20,Dublin Pub Crawl,"Experience the lively pub culture of Dublin. Enjoy traditional Irish music, visit historic pubs, and savor the taste of famous Irish whiskey.",4,10,0,300.0
21,Hiroshima Peace Journey,"Embark on a journey of peace in Hiroshima. Visit the Peace Memorial Park, learn about the citys history, and experience the resilience of its people.",2,8,3,400.0
22,Paris Romantic Escape,"Indulge in a romantic escape in the City of Love, Paris. Stroll along the Seine, visit world-renowned museums, and experience the enchanting atmosphere.",2,4,3,600.0
23,Berlin Street Art Tour,"Explore the vibrant street art scene of Berlin. Discover colorful murals, visit alternative neighborhoods, and immerse yourself in the citys creative spirit.",4,8,4,350.0
24,Tokyo Anime Adventure,"Embark on an anime adventure in Tokyo. Visit anime-themed cafes, explore vibrant neighborhoods like Akihabara, and experience the unique pop culture.",4,12,6,800.0
25,Graz Wine Tasting,"Savor the flavors of Graz on a wine tasting journey. Explore the vineyards of Styria, sample exquisite wines, and indulge in regional delicacies.",2,6,0,300.0
26,Buenos Aires Tango Experience,"Immerse yourself in the passionate world of tango in Buenos Aires. Learn to dance tango, enjoy live performances, and discover the vibrant culture of Argentina.",4,10,0,400.0
27,Rio de Janeiro Carnival Spectacular,"Experience the excitement of Carnival in Rio de Janeiro. Witness the colorful parades, dance to samba rhythms, and soak up the vibrant energy of the city.",2,8,1,600.0
28,Oslo Fjord Cruise,"Cruise through the breathtaking fjords of Oslo. Marvel at the stunning landscapes, explore charming coastal villages, and experience the tranquility of nature.",2,4,3,500.0
29,Porto Wine and Port Tasting,"Indulge in the rich flavors of Porto with a wine and port tasting experience. Visit famous cellars, sample a variety of wines, and explore the charming streets of Porto.",4,10,5,350.0
30,Lisbon Coastal Discovery,"Discover the beauty of Lisbon and its stunning coastline. Explore historic landmarks, relax on picturesque beaches, and indulge in delicious Portuguese cuisine.",2,6,0,400.0
31,Leipzig Music and Culture,"Immerse yourself in the music and culture of Leipzig. Visit historic music venues, attend classical concerts, and explore the vibrant arts scene of the city.",2,4,0,300.0
32,Rome Historical Journey,"Embark on a historical journey through the ancient city of Rome. Visit iconic landmarks such as the Colosseum and the Vatican, and immerse yourself in the rich history.",4,8,2,500.0
33,Milan Fashion and Shopping,"Experience the world of fashion and luxury in Milan. Shop at high-end boutiques, admire stunning architecture, and indulge in gourmet Italian cuisine.",2,6,0,700.0
34,Moscow Kremlin Tour,"Explore the grandeur of the Moscow Kremlin. Visit historic palaces, admire iconic cathedrals, and delve into the rich history and culture of Russia.",2,4,3,400.0
35,Ibiza Beach Party,"Party in style on the legendary island of Ibiza. Dance the night away at world-famous clubs, relax on stunning beaches, and experience the vibrant nightlife.",4,12,0,600.0
36,Toronto City Escape,"Escape to the multicultural city of Toronto. Explore diverse neighborhoods, visit iconic landmarks such as the CN Tower, and indulge in global cuisine.",2,8,1,350.0
37,Ottawa Capital Discovery,"Discover the charm of Canada's capital, Ottawa. Visit historic sites, explore national museums, and enjoy the picturesque Rideau Canal.",2,6,1,300.0
38,Beijing Great Wall Adventure,"Embark on an adventure to the Great Wall of China from Beijing. Hike along the ancient wall, learn about its history, and admire the breathtaking views.",4,10,9,500.0
39,Istanbul Bosphorus Cruise,"Cruise along the mesmerizing Bosphorus Strait in Istanbul. Marvel at the stunning waterfront palaces, experience Turkish hospitality, and indulge in delicious cuisine.",2,4,2,400.0
40,European Delights,"Embark on a journey through the enchanting cities of Europe and experience their unique charms. Immerse yourself in the rich history, indulge in local cuisine, and marvel at iconic landmarks. Discover the best of Zagreb, Dubrovnik, Prague, Paris, and Barcelona.",6,12,4,1500.0
41,Coastal Explorer,"Discover the coastal treasures of Zadar, Rijeka, Sydney, Lisbon, and Miami. Relax on pristine beaches, explore vibrant waterfronts, and indulge in delicious seafood. Experience the best of both worlds: sun-soaked relaxation and cultural exploration.",4,10,7,800.0
42,Metropolis Tour,"Embark on a cosmopolitan adventure through the bustling cities of New York, Tokyo, London, Moscow, and Istanbul. Explore iconic landmarks, immerse yourself in diverse cultures, and indulge in world-class shopping and dining. Experience the vibrant energy of these global metropolises.",6,16,3,2000.0
43,Historical Gems,"Uncover the historical gems of Rome, Jerusalem, Berlin, Hiroshima, and Warsaw. Explore ancient ruins, visit sacred sites, and learn about the significant events that shaped these cities. Immerse yourself in the rich history and heritage of these destinations.",4,12,2,1200.0
44,Urban Escape,"Escape to the urban jungles of Singapore, Madrid, Beijing, Buenos Aires, and Prague. Immerse yourself in the vibrant city life, explore modern architecture, and savor diverse culinary delights. Experience the fusion of tradition and innovation.",8,14,11,1800.0
45,Island Paradise,"Embark on an island-hopping adventure in Dubrovnik, Šibenik, Ibiza, Sydney, and Porto. Discover pristine beaches, crystal-clear waters, and breathtaking landscapes. Relax, unwind, and experience the ultimate island paradise.",2,8,5,1000.0
46,Cultural Fusion,"Immerse yourself in the cultural fusion of Toronto, Lisbon, Tel Aviv, Oslo, and Milan. Explore diverse neighborhoods, experience multicultural events, and indulge in a blend of international cuisines. Celebrate diversity and discover hidden gems.",6,12,8,1500.0
47,Nature Retreat,"Escape to the tranquility of Oslo, Hiroshima, Graz, Sydney, and Porto. Immerse yourself in the beauty of nature, explore scenic landscapes, and engage in outdoor activities. Rejuvenate your soul and find serenity amidst stunning natural settings.",4,10,5,1200.0
48,Adventure Quest,"Embark on an adrenaline-pumping adventure in Dubrovnik, New York, Tokyo, Barcelona, and Buenos Aires. Experience thrilling activities such as zip-lining, bungee jumping, and hiking. Challenge yourself and create unforgettable memories.",6,16,14,2000.0
49,Romantic Getaway,"Indulge in a romantic escape in Dubrovnik, Paris, Venice, Lisbon, and Sydney. Experience enchanting sunsets, stroll hand-in-hand through charming streets, and savor intimate dining experiences. Ignite the sparks of romance and create timeless memories.",2,6,4,1200.0
50,Croatian Tour,"Embark on an unforgettable journey through Croatia with our Croatian Tour package. Explore the vibrant capital city of Zagreb, soak up the rich cultural heritage in Osijek, discover the coastal charm of Rijeka, and immerse yourself in the ancient history of Pula. From the bustling city streets to the picturesque coastlines, this tour offers a perfect blend of cultural experiences and natural beauty. Grab this opportunity to create lasting memories.",2,10,0,800.0
